Monitor	Latitude	Longitude	fourthmaxOzone	meanOzone	maxOzone	avgTemp	mean4MaxTemp	meanMaxTemp	nmonitors	TotPop	PctUrban	PctInUAs	PctInUCs	PctRural	PctWhite	PctBlack	PctHisp	PctHighSchool	MedianHHInc	PctPoor	PctFemale	TotHUs	PctUrbanHUs	PctRuralHUs	PctOccupied	PctMovedIn5	MedianHValue	PopPerSQM	Year	Month
"39173-0003"	41.377685	-83.611104	0.028	0.0300290108695652	0.079	69.350146065851	66.0	77.145388240473	11	106391	0.81406321963324	0.253169910988711	0.560893308644528	0.18593678036676	0.930191463563647	0.0211954018666992	0.0331700989745373	0.268091324200913	42049.75	0.145376693766938	0.52006278726584	39917	0.809254202470125	0.190745797529875	0.953954455495152	0.574043436014601	129925.0	323.039442830428	2004.0	"6, 7, 8"
"40001-9009"	35.750735	-94.669697	0.028	0.0338432934782609	0.073	74.4030708967391	73.0	83.2173913043478	4	12534	0.262805169937769	0.0	0.262805169937769	0.737194830062231	0.409845220998883	5.58480931865326E-4	0.0371788734641774	0.355224674288753	23348.0	0.264996757457847	0.513004627413435	4916	0.287632221318145	0.712367778681855	0.909479251423922	0.42093491388951	45500.0	41.5784608817427	2004.0	"6, 7, 8"
"40019-0297"	34.257125	-97.474341	0.031	0.0325439450549451	0.078	79.2837777137681	77.1666666666667	87.3405797101449	6	3518	0.0	0.0	0.0	1.0	0.853325753268903	0.0144968732234224	0.0184764070494599	0.406672297297297	24815.0	0.205187991839114	0.519329164297897	1694	0.0	1.0	0.829988193624557	0.425320056899004	32500.0	48.2069867329304	2004.0	"6, 7, 8"
"40021-9002"	35.85408	-94.985964	0.028	0.0306539456521739	0.077	74.4030708967391	73.0	83.2173913043478	4	55662	0.589809924185261	0.0	0.589809924185261	0.410190075814739	0.533326147102152	0.0126477668786605	0.0540045273256441	0.273013830813767	25381.0	0.253413975426985	0.519025547051849	22928	0.593597348220516	0.406402651779484	0.909193998604327	0.558380504653171	67500.0	105.468547722671	2004.0	"6, 7, 8"
"40037-0144"	36.105481	-96.361196	0.025	0.0345498695652174	0.074	74.7116158326413	73.0	83.2121804266406	3	7045	0.389496096522356	0.0	0.389496096522356	0.610503903477644	0.878495386799148	0.00525195173882186	0.0193044712562101	0.387940589669696	33358.0	0.129331593446426	0.495102909865153	2947	0.394638615541228	0.605361384458772	0.872073294876145	0.473929961089494	78700.0	83.3101638729298	2004.0	"6, 7, 8"
"40069-0323"	34.260031	-96.680503	0.031	0.0284469782608696	0.093	79.3930877377653	77.5714285714286	87.4266261688622	7	5236	0.547937356760886	0.0	0.547937356760886	0.452062643239114	0.753437738731856	0.0276928953399542	0.033231474407945	0.261384335154827	22522.0	0.23401250756506	0.516424751718869	2351	0.541046363249681	0.458953636750319	0.862611654615057	0.49112426035503	38150.0	34.34502121439	2004.0	"6, 7, 8"
"40071-9003"	36.662778	-97.074444	0.033	0.0394700641025641	0.084	74.7695244437492	73.6666666666667	83.4398265088536	3	54141	0.815112391717922	0.0	0.815112391717922	0.184887608282078	0.825215640642027	0.0258214661716629	0.0419829703921243	0.335594287513237	33762.6666666667	0.175987456133801	0.519735505439501	24546	0.833944430864499	0.166055569135501	0.89098020043999	0.483127572016461	58766.6666666667	119.264109858832	2004.0	"6, 7, 8"
"40071-9010"	36.956222	-97.03135	0.033	0.0377866363636364	0.076	74.7695244437492	73.6666666666667	83.4398265088536	3	3722	0.0	0.0	0.0	1.0	0.829661472326706	0.00994089199355185	0.0177324019344438	0.372438730413821	32433.0	0.135785398230089	0.501343363782912	1593	0.0	1.0	0.913370998116761	0.416494845360825	49700.0	15.8066563394617	2004.0	"6, 7, 8"
"40097-9014"	36.228408	-95.249943	0.027	0.0317313695652174	0.079	74.4030708967391	73.0	83.2173913043478	4	33830	0.491161690806976	0.0	0.491161690806976	0.508838309193024	0.771061188294413	0.0030446349394029	0.0193910730121194	0.370992225953356	31766.6666666667	0.123501776787328	0.513301803133314	14644	0.500273149412729	0.499726850587271	0.903168533187654	0.493497656131861	70366.6666666667	79.9139117212012	2004.0	"6, 7, 8"
"40115-9004"	36.922222	-94.838889	0.028	0.033594347826087	0.093	74.2102284608696	72.6	83.0065217391304	5	25724	0.755442388431037	0.0	0.755442388431037	0.244557611568963	0.737171512983984	0.00773596641268854	0.0574949463535998	0.323466844952288	24956.0	0.171020606847315	0.516560410511585	11118	0.759129339809318	0.240870660190682	0.905378665227559	0.462646532882972	28399.8333333333	133.852596940149	2004.0	"6, 7, 8"
